node_id,Base,I,V,V&I,neighborhood,historic_stream
J1-S,1155.0,1155.0,1150.0,1155.0,Clifton Park,Canal Street Creek
J10-S,1150.0,1140.0,1145.0,1135.0,Downtown,"Southside, Drains to Harbor"
J105-S,1140.0,1140.0,1140.0,1140.0,Downtown,"Southside, Drains to Harbor"
J116-S,1150.0,1145.0,1155.0,1145.0,Downtown,"Southside, Drains to Harbor"
J119-S,1120.0,1110.0,1125.0,1110.0,Downtown,"Southside, Drains to Harbor"
J128-S,1120.0,345.0,1120.0,340.0,Canton,Harris Creek
J130-S,1205.0,1230.0,1225.0,1225.0,Downtown,"Southside, Drains to Harbor"
J131-S,1125.0,350.0,1120.0,350.0,Downtown,"Southside, Drains to Harbor"
J136-S,1145.0,1135.0,1145.0,1135.0,Downtown,"Southside, Drains to Harbor"
J138-S,1175.0,1180.0,1170.0,1180.0,Downtown,"Southside, Drains to Harbor"
J141-S,1140.0,1140.0,1135.0,1140.0,Downtown,"Southside, Drains to Harbor"
J157-S,1155.0,1145.0,1150.0,1140.0,Downtown,"Southside, Drains to Harbor"
J163-S,1150.0,1155.0,1150.0,1150.0,Downtown,"Southside, Drains to Harbor"
J165-S,1135.0,1130.0,1130.0,1130.0,Federal Hill,"Southside, Drains to Harbor"
J171-S,1125.0,1120.0,1120.0,1120.0,Canton,"Northside, Drains to Harbor"
J177-S,1145.0,1145.0,1140.0,1145.0,Federal Hill,"Southside, Drains to Harbor"
J182-S,1140.0,1135.0,1145.0,1135.0,Federal Hill,"Southside, Drains to Harbor"
J191-S,1135.0,1140.0,1140.0,1140.0,Fells Point,Canal Street Creek
J204-S,1150.0,1145.0,1145.0,1145.0,Fells Point,Canal Street Creek
J208-S,1195.0,1195.0,1185.0,1190.0,Downtown,"Southside, Drains to Harbor"
J211-S,1130.0,1130.0,1135.0,1130.0,Fells Point,Canal Street Creek
J227-S,1185.0,1175.0,1185.0,1175.0,Locust Point,"Southside, Drains to Harbor"
J231-S,0.0,0.0,0.0,0.0,Locust Point,"Southside, Drains to Harbor"
J232-S,0.0,0.0,0.0,0.0,Locust Point,"Southside, Drains to Harbor"
J234-S,1160.0,1160.0,1160.0,1160.0,Locust Point,"Southside, Drains to Harbor"
J238-S,1115.0,1110.0,1110.0,1110.0,Locust Point,"Southside, Drains to Harbor"
J240-S,1150.0,1145.0,1150.0,1145.0,Locust Point,"Southside, Drains to Harbor"
J245-S,1140.0,1130.0,1140.0,1130.0,Locust Point,"Southside, Drains to Harbor"
J253-S,1135.0,1120.0,1130.0,1120.0,Eager Park,Canal Street Creek
J260-S,1135.0,1135.0,1140.0,1130.0,Broadway East,Canal Street Creek
J266-S,1140.0,1130.0,1135.0,1130.0,Clifton Park,Canal Street Creek
J268-S,1115.0,1110.0,1110.0,1110.0,Clifton Park,Canal Street Creek
J27-S,1110.0,1110.0,1115.0,1110.0,Locust Point,"Southside, Drains to Harbor"
J273-S,1105.0,1105.0,1105.0,1105.0,Clifton Park,Canal Street Creek
J278-S,1135.0,1120.0,1135.0,1120.0,Broadway East,Canal Street Creek
J280-S,1165.0,1155.0,1160.0,1150.0,Broadway East,Canal Street Creek
J3-S,1150.0,1135.0,1155.0,1135.0,Fells Point,"Northside, Drains to Harbor"
J328-S,1225.0,1225.0,1220.0,1220.0,Broadway East,Canal Street Creek
J329-S,1145.0,1140.0,1145.0,1140.0,Broadway East,Canal Street Creek
J33-S,1160.0,1155.0,1160.0,1155.0,Locust Point,"Southside, Drains to Harbor"
J338-S,1150.0,1135.0,1145.0,1130.0,Eager Park,Canal Street Creek
J34-S,1135.0,1130.0,1130.0,1130.0,Locust Point,"Southside, Drains to Harbor"
J361-S,1190.0,1175.0,1185.0,1175.0,Eager Park,Canal Street Creek
J366-S,1130.0,1115.0,1125.0,1110.0,Eager Park,Canal Street Creek
