node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
J105-S_depth,0.16304538768465324,0.15555375980041025,0.15563025057787902,0.15553754594890665,J105-S,Downtown,"Southside, Drains to Harbor"
J10-S_depth,0.186803635212308,0.15479210022806725,0.18655088952071433,0.1451642405784635,J10-S,Downtown,"Southside, Drains to Harbor"
J116-S_depth,0.2268538361501073,0.2031954981458604,0.22391776621528042,0.19778759506320936,J116-S,Downtown,"Southside, Drains to Harbor"
J119-S_depth,0.110060444708424,0.09080378496121454,0.11077957854811762,0.08907103159475521,J119-S,Downtown,"Southside, Drains to Harbor"
J128-S_depth,0.1534762050449091,0.06982846168736144,0.1540465504431212,0.06909494970674837,J128-S,Canton,Harris Creek
J130-S_depth,0.2854338141559873,0.22907304134457646,0.2815060171364414,0.22562452847491318,J130-S,Downtown,"Southside, Drains to Harbor"
J131-S_depth,0.1181158200868481,0.08901347720600036,0.11643360840718812,0.08741956641820639,J131-S,Downtown,"Southside, Drains to Harbor"
J136-S_depth,0.37609583798276003,0.37338080152289155,0.39368688724720435,0.3717350842894778,J136-S,Downtown,"Southside, Drains to Harbor"
J138-S_depth,0.1776524695664299,0.1860754245590815,0.18144700106755557,0.1861585539258098,J138-S,Downtown,"Southside, Drains to Harbor"
J141-S_depth,0.16380926718519215,0.15472986734483782,0.1543460406002042,0.15425937733235082,J141-S,Downtown,"Southside, Drains to Harbor"
J157-S_depth,0.23978361145862068,0.2068829168419833,0.23868548202615777,0.2052852247295968,J157-S,Downtown,"Southside, Drains to Harbor"
J163-S_depth,0.13828315666424298,0.13676603996058892,0.13582470537049673,0.13578971364738032,J163-S,Downtown,"Southside, Drains to Harbor"
J165-S_depth,0.13598694548417933,0.13491635705083416,0.1342778113922541,0.13425339461703673,J165-S,Federal Hill,"Southside, Drains to Harbor"
J171-S_depth,0.10661484877434765,0.10093019942771006,0.10092965955547249,0.10093012013580534,J171-S,Canton,"Northside, Drains to Harbor"
J177-S_depth,0.14584906739449754,0.14099535022264106,0.14098161606258897,0.1409544245753332,J177-S,Federal Hill,"Southside, Drains to Harbor"
J182-S_depth,0.20240957612790772,0.18133459072560648,0.20089734799593503,0.18074137039712052,J182-S,Federal Hill,"Southside, Drains to Harbor"
J191-S_depth,0.16855834494935507,0.16887340280731977,0.1688738356552403,0.16887294107513498,J191-S,Fells Point,Canal Street Creek
