,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,19.54773649955205,18.55430864402304,18.56395012916829,18.55226625486313,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,23.354760849449736,18.45886776093418,23.309007151675686,17.294592604587457,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,32.032338526172595,26.56340016701361,31.29982292750758,25.45229645374536,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,13.068020398901812,10.749477322727941,13.154605653393086,10.540850106312414,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_volume,18.295370928350142,8.224003477029017,18.36404173582203,8.135687063576915,J128-S,Canton,Harris Creek
5,J130-S_volume,49.83412876411721,32.59612185664944,48.45068428646344,31.723784999997275,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_volume,14.037904846921576,10.533920434640237,13.835362957843456,10.342010162059655,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_volume,48.67819289510317,48.08390550663558,52.78015627874063,47.728731596189334,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_volume,21.30012409347185,22.387337205260778,21.787326797151138,22.398171426349634,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_volume,19.65460753711386,18.451114919313905,18.403449996184722,18.39272391164311,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_volume,30.425548107479788,25.401511554187163,30.249908862322634,25.170088597751498,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_volume,16.46609536387574,16.28343126349797,16.17009256276419,16.16587948435807,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_volume,16.189626619926464,16.060725479637895,15.983843214751001,15.980903382720635,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_volume,12.653163268894975,11.968719312562781,11.968654310789116,11.968709765647631,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_volume,17.377047219953656,16.792649277099375,16.790995654814207,16.787721741511728,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_volume,26.398712893262275,22.389946394609282,26.08490397338085,22.288474454007197,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_volume,20.34218314188157,20.389208428950962,20.389273156252717,20.389139382713406,J191-S,Fells Point,Canal Street Creek
17,J1-S_volume,12.043117375041168,12.06514930644619,12.064867929584384,12.065253612754923,J1-S,Clifton Park,Canal Street Creek
18,J204-S_volume,14.086564537237628,13.937258712775478,13.93726728621112,13.937257617869218,J204-S,Fells Point,Canal Street Creek
19,J208-S_volume,24.772769372564383,24.209090886043313,23.55799708676069,23.58832857154676,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_volume,18.54593427020316,16.854316166738997,19.17218543480295,16.830083319281123,J211-S,Fells Point,Canal Street Creek
21,J227-S_volume,99.36660838523443,95.5773738837382,100.02812751281643,95.57799130000272,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_volume,4.676186887415151,4.806362236311366,4.809821581161178,4.809579581240044,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_volume,1.2268580144608539,1.427488697359386,1.3963557738099248,1.4304189993208059,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_volume,17.14049584453134,16.80007857569049,16.803792912124816,16.80006871203376,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_volume,10.902755515102887,10.337737351915289,10.337646441839151,10.337743544243247,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_volume,20.653326988370218,20.82312053434886,21.07222065624904,20.804181560464098,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_volume,34.14584006886479,26.574034502521656,36.11199008060016,26.537871387731574,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_volume,17.370885711298587,13.729375131724684,17.020142210435836,13.189729583826878,J253-S,Eager Park,Canal Street Creek
29,J260-S_volume,15.32521396447234,13.951414548946687,15.52346114745313,13.731481437478108,J260-S,Broadway East,Canal Street Creek
30,J266-S_volume,15.242752034016497,14.605165999497405,15.446536363091885,14.335189360273782,J266-S,Clifton Park,Canal Street Creek
31,J268-S_volume,10.559905370137297,10.178191604304503,10.02693851497485,10.058986030030045,J268-S,Clifton Park,Canal Street Creek
32,J273-S_volume,7.978442680739156,7.291055842011537,7.297791038603075,7.286460796651848,J273-S,Clifton Park,Canal Street Creek
33,J278-S_volume,18.542452620646213,14.167604921774068,18.49662804934238,13.5960084776855,J278-S,Broadway East,Canal Street Creek
34,J27-S_volume,12.359072287828411,11.125513995477771,14.234746735850429,11.125628576542626,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_volume,30.6530092274554,25.357150963183862,29.79365070112219,24.304171448177154,J280-S,Broadway East,Canal Street Creek
36,J328-S_volume,33.997712838909,35.1352423290558,33.502281344782595,34.34777063424119,J328-S,Broadway East,Canal Street Creek
