parameter,output,spearman_rho,p_value
n_perv,max_depth_J1-S,-0.6894,0.0
SubcatchWidth,max_depth_J1-S,0.4454,0.0
dstore_perv_in,max_depth_J1-S,-0.292,0.0
slope%,max_depth_J1-S,0.2133,0.0
%Imperv,max_depth_J1-S,0.1797,0.0001
n_imperv,max_depth_J1-S,-0.0574,0.2
dstore_imperv_in,max_depth_J1-S,-0.0293,0.513
IMD,max_depth_J1-S,-0.0185,0.6804
%Imperv,max_depth_J10-S,0.5083,0.0
SubcatchWidth,max_depth_J10-S,0.4833,0.0
n_perv,max_depth_J10-S,-0.4491,0.0
slope%,max_depth_J10-S,0.212,0.0
n_imperv,max_depth_J10-S,-0.2067,0.0
dstore_imperv_in,max_depth_J10-S,-0.0286,0.5237
IMD,max_depth_J10-S,-0.0231,0.6062
dstore_perv_in,max_depth_J10-S,0.016,0.7217
%Imperv,max_depth_J105-S,0.6387,0.0
SubcatchWidth,max_depth_J105-S,0.4177,0.0
n_imperv,max_depth_J105-S,-0.2686,0.0
n_perv,max_depth_J105-S,-0.2432,0.0
slope%,max_depth_J105-S,0.1699,0.0001
dstore_imperv_in,max_depth_J105-S,-0.0378,0.3984
IMD,max_depth_J105-S,-0.0296,0.5088
dstore_perv_in,max_depth_J105-S,0.019,0.6722
%Imperv,max_depth_J116-S,0.6288,0.0
SubcatchWidth,max_depth_J116-S,0.4343,0.0
n_imperv,max_depth_J116-S,-0.2787,0.0
n_perv,max_depth_J116-S,-0.2496,0.0
slope%,max_depth_J116-S,0.176,0.0001
dstore_imperv_in,max_depth_J116-S,-0.0348,0.4377
IMD,max_depth_J116-S,-0.0298,0.5061
dstore_perv_in,max_depth_J116-S,0.029,0.5172
%Imperv,max_depth_J119-S,0.6265,0.0
SubcatchWidth,max_depth_J119-S,0.4341,0.0
n_imperv,max_depth_J119-S,-0.2815,0.0
n_perv,max_depth_J119-S,-0.2492,0.0
slope%,max_depth_J119-S,0.1763,0.0001
dstore_imperv_in,max_depth_J119-S,-0.0345,0.4414
IMD,max_depth_J119-S,-0.0304,0.4983
dstore_perv_in,max_depth_J119-S,0.0299,0.5044
%Imperv,max_depth_J128-S,0.5979,0.0
SubcatchWidth,max_depth_J128-S,0.447,0.0
n_perv,max_depth_J128-S,-0.3234,0.0
n_imperv,max_depth_J128-S,-0.253,0.0
slope%,max_depth_J128-S,0.1891,0.0
dstore_imperv_in,max_depth_J128-S,-0.035,0.4346
IMD,max_depth_J128-S,-0.0331,0.4607
dstore_perv_in,max_depth_J128-S,0.0183,0.6828
%Imperv,max_depth_J130-S,0.6296,0.0
SubcatchWidth,max_depth_J130-S,0.4322,0.0
n_imperv,max_depth_J130-S,-0.2779,0.0
n_perv,max_depth_J130-S,-0.252,0.0
slope%,max_depth_J130-S,0.1741,0.0001
dstore_imperv_in,max_depth_J130-S,-0.0371,0.4082
IMD,max_depth_J130-S,-0.0321,0.4734
dstore_perv_in,max_depth_J130-S,0.0313,0.4853
%Imperv,max_depth_J131-S,0.6268,0.0
SubcatchWidth,max_depth_J131-S,0.4333,0.0
n_imperv,max_depth_J131-S,-0.28,0.0
n_perv,max_depth_J131-S,-0.2528,0.0
slope%,max_depth_J131-S,0.1757,0.0001
dstore_imperv_in,max_depth_J131-S,-0.035,0.4354
dstore_perv_in,max_depth_J131-S,0.0308,0.4918
IMD,max_depth_J131-S,-0.0304,0.4973
%Imperv,max_depth_J136-S,0.6486,0.0
SubcatchWidth,max_depth_J136-S,0.4166,0.0
n_perv,max_depth_J136-S,-0.2735,0.0
n_imperv,max_depth_J136-S,-0.2411,0.0
slope%,max_depth_J136-S,0.1683,0.0002
dstore_imperv_in,max_depth_J136-S,-0.0359,0.4237
IMD,max_depth_J136-S,-0.0315,0.482
dstore_perv_in,max_depth_J136-S,0.0158,0.7245
%Imperv,max_depth_J138-S,0.6264,0.0
SubcatchWidth,max_depth_J138-S,0.4297,0.0
n_perv,max_depth_J138-S,-0.3011,0.0
n_imperv,max_depth_J138-S,-0.245,0.0
slope%,max_depth_J138-S,0.1785,0.0001
dstore_imperv_in,max_depth_J138-S,-0.032,0.4759
IMD,max_depth_J138-S,-0.0225,0.6163
dstore_perv_in,max_depth_J138-S,0.0201,0.6531
%Imperv,max_depth_J141-S,0.651,0.0
SubcatchWidth,max_depth_J141-S,0.4121,0.0
n_perv,max_depth_J141-S,-0.2771,0.0
n_imperv,max_depth_J141-S,-0.239,0.0
slope%,max_depth_J141-S,0.167,0.0002
dstore_imperv_in,max_depth_J141-S,-0.0373,0.4056
IMD,max_depth_J141-S,-0.028,0.5325
dstore_perv_in,max_depth_J141-S,0.0071,0.8737
%Imperv,max_depth_J157-S,0.5965,0.0
SubcatchWidth,max_depth_J157-S,0.4452,0.0
n_perv,max_depth_J157-S,-0.3633,0.0
n_imperv,max_depth_J157-S,-0.2172,0.0
slope%,max_depth_J157-S,0.1878,0.0
dstore_imperv_in,max_depth_J157-S,-0.0321,0.474
IMD,max_depth_J157-S,-0.0242,0.59
dstore_perv_in,max_depth_J157-S,0.0187,0.6763
%Imperv,max_depth_J163-S,0.5929,0.0
SubcatchWidth,max_depth_J163-S,0.4479,0.0
n_perv,max_depth_J163-S,-0.3641,0.0
n_imperv,max_depth_J163-S,-0.2182,0.0
slope%,max_depth_J163-S,0.1895,0.0
dstore_imperv_in,max_depth_J163-S,-0.031,0.4886
IMD,max_depth_J163-S,-0.0232,0.6044
dstore_perv_in,max_depth_J163-S,0.018,0.6882
%Imperv,max_depth_J165-S,0.6389,0.0
SubcatchWidth,max_depth_J165-S,0.4167,0.0
n_perv,max_depth_J165-S,-0.3304,0.0
n_imperv,max_depth_J165-S,-0.21,0.0
slope%,max_depth_J165-S,0.1727,0.0001
dstore_imperv_in,max_depth_J165-S,-0.0375,0.4025
IMD,max_depth_J165-S,-0.0282,0.5299
dstore_perv_in,max_depth_J165-S,0.0091,0.8397
%Imperv,max_depth_J171-S,0.6459,0.0
SubcatchWidth,max_depth_J171-S,0.4124,0.0
n_imperv,max_depth_J171-S,-0.2636,0.0
n_perv,max_depth_J171-S,-0.2465,0.0
slope%,max_depth_J171-S,0.1691,0.0001
dstore_imperv_in,max_depth_J171-S,-0.0375,0.4023
